Lan,Datum,Uppskattning,Low_CI,High_CI
Skåne,2021-09-04,0.25,0.12,0.53
Dalarna,2021-09-04,0.36,0.02,2.85
Stockholm,2021-09-04,0.42,0.23,0.73
Jönköping,2021-09-04,0.24,0.01,2.11
Västernorrland,2021-09-04,0.31,0.01,2.92
Halland,2021-09-04,0.16,0,1.95
Blekinge,2021-09-04,0.17,0,2.77
Västra Götaland,2021-09-04,0.23,0.08,0.57
Örebro,2021-09-04,0.48,0,3.75
Östergötland,2021-09-04,0.2,0,1.6
Gävleborg,2021-09-04,0.63,0.04,3.5
Uppsala,2021-09-04,0.26,0.06,0.9
Kalmar,2021-09-04,0.21,0,3.87
Kronoberg,2021-09-04,0.3,0,3.53
Västerbotten,2021-09-04,0.23,0.01,3.04
Norrbotten,2021-09-04,0.32,0,4.13
Västmanland,2021-09-04,0.27,0,2.9
Södermanland,2021-09-04,0.36,0.01,3.06
Värmland,2021-09-04,0.17,0,2.15
Gotland,2021-09-04,,,
Jämtland,2021-09-04,0.09,0,4.37
